#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001          2.1466          2.1466          2.1466
     0.000106333         2.27702         2.27702         2.27702
     0.000113066         2.41535         2.41535         2.41535
     0.000120226         2.56207         2.56207         2.56207
      0.00012784         2.71769         2.71769         2.71769
     0.000135936         2.88275         2.88275         2.88275
     0.000144544         3.05781         3.05781         3.05781
     0.000153697         3.24349         3.24349         3.24349
     0.000163431         3.44041         3.44041         3.44041
      0.00017378         3.64926         3.64926         3.64926
     0.000184785         3.87076         3.87076         3.87076
     0.000196487         4.10565         4.10565         4.10565
      0.00020893         4.35475         4.35475         4.35475
      0.00022216          4.6189          4.6189          4.6189
     0.000236229           4.899           4.899           4.899
     0.000251189         5.19599         5.19599         5.19599
     0.000267096         5.51089         5.51089         5.51089
      0.00028401         5.84476         5.84476         5.84476
     0.000301995          6.1987          6.1987          6.1987
     0.000321119          6.5739          6.5739          6.5739
     0.000341455         6.97161         6.97161         6.97161
     0.000363078         7.39313         7.39313         7.39313
     0.000386071         7.83985         7.83985         7.83985
     0.000410519         8.31322         8.31322         8.31322
     0.000436516         8.81477         8.81477         8.81477
     0.000464159         9.34609         9.34609         9.34609
     0.000493552         9.90887         9.90887         9.90887
     0.000524807         10.5049         10.5049         10.5049
     0.000558042         11.1359         11.1359         11.1359
     0.000593381          11.804          11.804          11.804
     0.000630957          12.511          12.511          12.511
     0.000670914         13.2591         13.2591         13.2591
       0.0007134         14.0504         14.0504         14.0504
     0.000758578         14.8871         14.8871         14.8871
     0.000806616         15.7716         15.7716         15.7716
     0.000857696         16.7062         16.7062         16.7062
     0.000912011         17.6933         17.6933         17.6933
     0.000969765         18.7355         18.7355         18.7355
      0.00103118         19.8352         19.8352         19.8352
      0.00109648         20.9949         20.9949         20.9949
      0.00116591         22.2173         22.2173         22.2173
      0.00123975         23.5048         23.5048         23.5048
      0.00131826           24.86           24.86           24.86
      0.00140174         26.2853         26.2853         26.2853
       0.0014905         27.7831         27.7831         27.7831
      0.00158489         29.3556         29.3556         29.3556
      0.00168526          31.005          31.005          31.005
      0.00179198         32.7331         32.7331         32.7331
      0.00190546         34.5417         34.5417         34.5417
      0.00202613         36.4323         36.4323         36.4323
      0.00215443         38.4058         38.4058         38.4058
      0.00229087          40.463          40.463          40.463
      0.00243594         42.6042         42.6042         42.6042
       0.0025902         44.8293         44.8293         44.8293
      0.00275423         47.1374         47.1374         47.1374
      0.00292864         49.5272         49.5272         49.5272
      0.00311411         51.9967         51.9967         51.9967
      0.00331131         54.5429         54.5429         54.5429
      0.00352101         57.1624         57.1624         57.1624
      0.00374398         59.8507         59.8507         59.8507
      0.00398107         62.6022         62.6022         62.6022
      0.00423318         65.4105         65.4105         65.4105
      0.00450125         68.2682         68.2682         68.2682
       0.0047863         71.1664         71.1664         71.1664
       0.0050894         74.0955         74.0955         74.0955
       0.0054117         77.0443         77.0443         77.0443
       0.0057544         80.0005         80.0005         80.0005
      0.00611881         82.9502         82.9502         82.9502
      0.00650629         85.8784         85.8784         85.8784
      0.00691831         88.7687         88.7687         88.7687
      0.00735642         91.6029         91.6029         91.6029
      0.00782228         94.3616         94.3616         94.3616
      0.00831764         97.0237         97.0237         97.0237
      0.00884437         99.5667         99.5667         99.5667
      0.00940445         101.966         101.966         101.966
            0.01         104.197         104.197         104.197
       0.0106333          106.23          106.23          106.23
       0.0113066         108.037         108.037         108.037
       0.0120226         109.588         109.588         109.588
        0.012784         110.849         110.849         110.849
       0.0135936         111.788         111.788         111.788
       0.0144544          112.37          112.37          112.37
       0.0153697         112.562         112.562         112.562
       0.0163431          112.33          112.33          112.33
        0.017378         111.646         111.646         111.646
       0.0184785         110.483         110.483         110.483
       0.0196487         108.824         108.824         108.824
        0.020893         106.663         106.663         106.663
        0.022216         104.007         104.007         104.007
       0.0236229         100.879         100.879         100.879
       0.0251189         97.3224         97.3224         97.3224
       0.0267096         93.3995         93.3995         93.3995
        0.028401         89.1907         89.1907         89.1907
       0.0301995         84.7901         84.7901         84.7901
       0.0321119         80.2998         80.2998         80.2998
       0.0341455         75.8227         75.8227         75.8227
       0.0363078         71.4556         71.4556         71.4556
       0.0386071         67.2833         67.2833         67.2833
       0.0410519          63.375          63.375          63.375
       0.0436516         59.7826         59.7826         59.7826
       0.0464159         56.5389         56.5389         56.5389
       0.0493552         53.6549         53.6549         53.6549
       0.0524807          51.114          51.114          51.114
       0.0558042         48.8633         48.8633         48.8633
       0.0593381          46.805          46.805          46.805
       0.0630957         44.7933         44.7933         44.7933
       0.0670914         42.6465         42.6465         42.6465
         0.07134         40.1835         40.1835         40.1835
       0.0758578         37.2845         37.2845         37.2845
       0.0806616           33.96           33.96           33.96
       0.0857696         30.3909         30.3909         30.3909
       0.0912011         26.8998         26.8998         26.8998
       0.0969765         23.8461         23.8461         23.8461
        0.103118         21.4836         21.4836         21.4836
        0.109648         19.8439         19.8439         19.8439
        0.116591         18.6951         18.6951         18.6951
